"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка что при успешном оформлении заказа, заказ отображается на странице ""Статус заказа""","2791","Оформление заказа и переход на страницу с заказом","tests","2026-04-28","passed","2026-04-28","TestYaScooterOrderPage","test_order_page","",""
"","1257","Переход к форме ""Оформление заказа"" по кнопке ""Заказать"" внизу домашней страницы","tests","2026-04-28","passed","2026-04-28","TestYandexScooterHomePage","test_home_page","",""
"","1273","Переход к форме ""Оформление заказа"" по кнопке ""Заказать"" вверху домашней страницы","tests","2026-04-28","passed","2026-04-28","TestYandexScooterHomePage","test_home_page","",""
"Когда нажимаешь на стрелочку в блоке ""Вопросы о важном"" открывается соответствующий текст.","1254","Проверка ответов в блоке ""Вопросы о важном"".","tests","2026-04-28","passed","2026-04-28","TestYandexScooterFAQPage","test_faq","",""
"","1683","При нажатии на лого ""ЯндексСамокат"" происходит редирект на страницу ""ЯндексДзен""","tests","2026-04-28","passed","2026-04-28","TestYandexScooterHomePage","test_home_page","",""
"Когда нажимаешь на стрелочку в блоке ""Вопросы о важном"" открывается соответствующий текст.","1239","Проверка ответов в блоке ""Вопросы о важном"".","tests","2026-04-28","passed","2026-04-28","TestYandexScooterFAQPage","test_faq","",""
"Когда нажимаешь на стрелочку в блоке ""Вопросы о важном"" открывается соответствующий текст.","1421","Проверка ответов в блоке ""Вопросы о важном"".","tests","2026-04-28","passed","2026-04-28","TestYandexScooterFAQPage","test_faq","",""
"Когда нажимаешь на стрелочку в блоке ""Вопросы о важном"" открывается соответствующий текст.","1445","Проверка ответов в блоке ""Вопросы о важном"".","tests","2026-04-28","passed","2026-04-28","TestYandexScooterFAQPage","test_faq","",""
"Когда нажимаешь на стрелочку в блоке ""Вопросы о важном"" открывается соответствующий текст.","1314","Проверка ответов в блоке ""Вопросы о важном"".","tests","2026-04-28","passed","2026-04-28","TestYandexScooterFAQPage","test_faq","",""
"Проверка что при успешном оформлении заказа, заказ отображается на странице ""Статус заказа""","2759","Оформление заказа и переход на страницу с заказом","tests","2026-04-28","passed","2026-04-28","TestYaScooterOrderPage","test_order_page","",""
"Когда нажимаешь на стрелочку в блоке ""Вопросы о важном"" открывается соответствующий текст.","1495","Проверка ответов в блоке ""Вопросы о важном"".","tests","2026-04-28","passed","2026-04-28","TestYandexScooterFAQPage","test_faq","",""
"Когда нажимаешь на стрелочку в блоке ""Вопросы о важном"" открывается соответствующий текст.","1212","Проверка ответов в блоке ""Вопросы о важном"".","tests","2026-04-28","passed","2026-04-28","TestYandexScooterFAQPage","test_faq","",""
"Когда нажимаешь на стрелочку в блоке ""Вопросы о важном"" открывается соответствующий текст.","1177","Проверка ответов в блоке ""Вопросы о важном"".","tests","2026-04-28","passed","2026-04-28","TestYandexScooterFAQPage","test_faq","",""
